"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","1.24331335502E-07","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","22.4348185627379","No"
"0x000000000000cb53d776774284822b1298ade47f","2E-18","No"
"0x000000000035b5e5ad9019092c665357240f594e","3.9E-17","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","0.0513181136348687","No"
"0x000000000042c71e9b847fb1533270360a7b2cbf","1E-18","No"
"0x00000000008c4fb1c916e0c88fd4cc402d935e7d","2E-18","No"
"0x0000000000b92ac90d898eba87fa5f2483f32234","1E-18","No"
"0x0000000000d41c96294ccdac8612bdfe29c641af","2E-18","No"
"0x0000000000d9455cc7eb92d06e00582a982f68fe","1E-18","No"
"0x000000000bdbd514fd0ebb5b5773e006145d5140","1E-18","No"
"0x000000002605006ff4ad30ac969f0726821ebd7c","3.86532E-13","No"
"0x000000005736775feb0c8568e7dee77222a26880","2.3E-17","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x00000000726422a6fecb4759b44d47e48cf746aa","2E-18","No"
"0x0000000089341e263b85d84a0eea39f47c37a9d2","7.23477E-13","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","2E-18","No"
"0x00000000a1f2d3063ed639d19a6a56be87e25b1a","1.2E-17","No"
"0x00000000a991c429ee2ec6df19d40fe0c80088b8","1E-18","No"
"0x00000000acd5ca17eee6d92d9ca121543126cce1","1E-18","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","6.2E-17","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x0000001ea7022cd5d3666beb277c9dc323adc3d9","1E-17","No"
"0x0000007c68390193776e8b44df3b698d311070b9","0.464571913062106","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000aaee6a496aaf7b7452518781786313400f","200","No"
"0x000000c52b33fa71614810224771dc8f3255b220","1E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x0000024e4bc436cf5cd9a909c9e72a25be62f30e","100","No"
"0x0000ce08fa224696a819877070bf378e8b131acf","49.7556602890217","No"
"0x0000ea8d10a8e6cf2c0ae87456ad8ac54cf26041","100","No"
"0x0001ce60ae2813723e1400a55c63b92af3842d38","100","No"
"0x0001fe7648a2c144becdf9f17f0055315a519f86","450","No"
"0x000295c6fe38fd37bca396fcb0a13267b7ac8b75","200","No"
"0x00030c2edd276c7be5c7cee52cb0eaf12c538ff3","100","No"
"0x00032c96185b0274810e3e42b95e8d7655a5f691","0.0140065089077795","No"
"0x000364a204ce2e33bebfe1e41b11df1eb77aae00","100","No"
"0x0006d7fc632732643c18fc3daaccf783d24448cd","200","No"
"0x000aba3fffb94d769c3aa1b3eacdc237de18802e","698.380620694953","No"
"0x000b79f52356189c80a9d3ada3911d4438218516","3.7924681291606E-05","No"
"0x000bc68adbbcb6bda18a07e60151e53591d8860b","48.160283","No"
"0x000c51eca56239d6754f843718ab55585fff7ee3","100","No"
"0x000c9d05b64167cc59ad776c2032c736a4d6e8ee","200","No"
"0x000e35d99c3720fa203e17729b10de2ff6a63076","4.3777E-14","No"
"0x001076a29493cf2ace3474bfe308688effaf12cb","200","No"
"0x0010b2785260fa00c9892382cf561c0804edf2a3","200","No"
"0x00138736d2ef032c68c17a5fe09a03f4e8b65b4e","0.00895691713763473","No"
"0x0013cefc104698bb40d574e2ae6c822d5d52cff3","200","No"
"0x0018084ca5b41423b1f51fb69d8d5ecc57b0642b","100","No"
"0x0018573bbfdedcea76f6a7fa24b4dea3fdaa0333","1.57885495830999","No"
"0x0019e2b52d050dd5ea3443a662c34c1c3f0534a9","114","No"
"0x001a1df674fb6f970ff24ce36643575c062dbf2f","0.0089221326394","No"
"0x001aa2eb5e8c7a8bf7be15ca1b47b9037d9798ee","750","No"
"0x001ac65be7f619c6d25a85f222e877c0c74ce435","750","No"
"0x001af88a5a42e052019238ef9dacc4d0febde265","550","No"
"0x001b1d25304c9f386b84720ef19ea9caa8253ff0","200","No"
"0x001b3f8b00e3f76081dc1fa2e4153114ed88ffde","1512.50986703049","No"
"0x001b50ecad33c1a5b3ca62b6a2b69387e5c3ef0a","100","No"
"0x001d226e44e8c24fdafe0707a3ea7253386a6148","4","No"
"0x001d403396518fe7b0032df1b648498f9c7caa1d","7.86398475134E-07","No"
"0x001f59776c42d3baa7c883fe30c7c47ddc432e58","10","No"
"0x002083c044c37c5fa26f0f51ecac1c41a45e83f0","20","No"
"0x0020f9f3954620bbb73a968f7e639731879f17bd","250","No"
"0x002103fd07ceacec15d9be8f84eba13d2c6bbdfd","1500","No"
"0x002207ea270172063d9bd26c5f0a60048adcc0d9","200","No"
"0x0022889912cd4c9d13d4e3cf68b475f9996ee215","750","No"
"0x0023e7c7886e8650ba5677f44e0da116146c4e4e","200","No"
"0x002478fd77c60ce0d5dd231b1f11c68c803b3e12","200","No"
"0x0024f8082602f73d8c7e2e016ce8565f9cda1dbb","1539.9112487229","No"
"0x00274c1cdd1578dd3e4fab94f6be519dfa37ecf8","331.0489424","No"
"0x002848284eb655a5a99250ffbb09605b8e624261","400","No"
"0x002a733d99a6429024bff83811454aef350c27a1","100","No"
"0x002ee33092457900515a4249e3ec1cd2b2dc8c32","200","No"
"0x002f11a4c2c7ada6ee7ea01254d04a91a38163dd","1500","No"
"0x0030d73b59f38ee312837ef260bb47db157df11e","100","No"
"0x0032df7662ee11e9a911ec180d88924133bfc340","6025.244014","No"
"0x0034ec49ff01b46f04284f5245f177b0426e0a12","100","No"
"0x0035570bb1da60ca0e9f3fa20d6333243097fdd8","20.13914855","No"
"0x0035fc5208ef989c28d47e552e92b0c507d2b318","200","No"
"0x003811d7f0f30221bf55007cf3236bfd99704490","100","No"
"0x003859fb0e8c4e57f2d56bd71c833ff98876649b","1493.12065472","No"
"0x0038ac7aca733ca8051dbb1c0cb70f34edf45707","268.13669057","No"
"0x0039e762ecd8e8f074e93575dc395abfce4ef8b6","362.726966689897","No"
"0x003a06bdc03333eb0b97b7793f068f37a3c62a31","100.00102639","No"
"0x003b515ab0786166641a30909ab3b13e2791c588","200","No"
"0x003e36550908907c2a2da960fd19a419b9a774b7","8700","No"
"0x00406f6395b83bb984711109b419a4bec3098633","200","No"
"0x00415ccbfd603f9f1fb2547e0501e6f316bd684b","41.1978099919243","No"
"0x004263ea8b4cc7592fc93ac28f8885324485ebdc","0.232671755643214","No"
"0x00429c6b4d05a946454265542d6466c39cdf77f3","100","No"
"0x00438b390be253ae5a1f0e3b0d5dfe18a37e9476","102.14629695","No"
"0x0044f0ab1281b2bc850bfa39123dec1e8e09001d","200","No"
"0x0045fa93dedb0af02956f7d7c306b34263688872","200","No"
"0x0047032de92865c994d586e7c8c2fde8ebcac292","526.13141560526","No"
"0x004892bd5d01874e5b4c270d78f4f8b7780197df","100","No"
"0x0048d77cd53479c2e9594d55f058a224041c11ce","200","No"
"0x0049271e504852ef8dc2c807d18544efdaafda4c","99","No"
"0x004ad68eac8b488e7ea589f0bd2c72dd833c8ff2","350","No"
"0x004af51612056e0b51b2b356b5c34054e75c9126","101","No"
"0x004afb002e3fb33c833fc16b6b63103bbf97312d","200","No"
"0x004c7f45a2cee4336a07480fc8fa78c101c10409","6139.58315588908","No"
"0x004d639573adecab3bc64218625039d792658192","250","No"
"0x004e13291c270a5be95180307c5468c163e2defd","0.0140891055406459","No"
